Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,name_no_num,code,row_num,definition
THORNTONS QUICK CAFE & MARKET 155,-85.74926,38.127804,8405 National Tpke,NA,Louisville,KY,40214,5816,JEFFERSON,THORNTONS QUICK CAFE  MARKET,445120,3,Convenience Store
DAIRY MART #3282,-85.795906,38.259724,2728 W Market St,NA,Louisville,KY,40212,1845,JEFFERSON,DAIRY MART,447110,4,Food Mart
PAPA MURPHY'S TAKE 'N' BAKE PIZZA KY 002,-85.640114,38.258678,291 N Hubbards Ln,NA,Louisville,KY,40207,2295,JEFFERSON,PAPA MURPHYS TAKE N BAKE PIZZA KY,445120,3,Convenience Store
CORNER MARKET,-85.79306,38.265846,358 N 26th St,NA,Louisville,KY,40212,1439,JEFFERSON,CORNER MARKET,445120,3,Convenience Store
Walmart SUPERCENTER 5418,-85.670166,38.200035,2020 Bashford Manor Ln,NA,Louisville,KY,40218,2114,JEFFERSON,WALMART SUPERCENTER,445110,1,Grocery
Circle K 272137,-85.697212,38.157345,6517 Preston Hwy,NA,Louisville,KY,40219,1819,JEFFERSON,CIRCLE K,445120,3,Convenience Store
Circle K 2723224,-85.783234,38.186626,1255 W Ashland Ave,NA,Louisville,KY,40215,2509,JEFFERSON,CIRCLE K,445120,3,Convenience Store
JR'S QUICK MART,-85.743675,38.231327,701 Camp St,NA,Louisville,KY,40203,2606,JEFFERSON,JRS QUICK MART,445120,3,Convenience Store
WALGREEN 09005,-85.751434,38.245571,200 E Broadway,NA,Louisville,KY,40202,2008,JEFFERSON,WALGREEN,445120,3,Convenience Store
Walmart SUPERCENTER 5417,-85.778938,38.126629,175 Outer Loop,NA,Louisville,KY,40214,5544,JEFFERSON,WALMART SUPERCENTER,445110,1,Grocery
SAVE A LOT,-85.783577,38.181644,4148 Taylor Blvd,NA,Louisville,KY,40215,2342,JEFFERSON,SAVE A LOT,445110,1,Grocery
RITE AID 4642,-85.822868,38.174644,4721 Dixie Hwy,NA,Shively,KY,40216,2654,JEFFERSON,RITE AID,447110,4,Food Mart
RITE AID 4642,-85.822868,38.174644,4721 Dixie Hwy,NA,Shively,KY,40216,2654,JEFFERSON,RITE AID,445120,3,Convenience Store
RITE AID 4634,-85.667023,38.265572,3805 Brownsboro Rd,NA,Louisville,KY,40207,1821,JEFFERSON,RITE AID,447110,4,Food Mart
RITE AID 4634,-85.667023,38.265572,3805 Brownsboro Rd,NA,Louisville,KY,40207,1821,JEFFERSON,RITE AID,445120,3,Convenience Store
Dollar General Market 9855,-85.668175,38.086819,11400 Preston Hwy,NA,Louisville,KY,40229,2864,JEFFERSON,DOLLAR GENERAL MARKET,445120,3,Convenience Store
CUBA FOOD MART,-85.776138,38.149422,5422 New Cut Rd,Ste 104,Louisville,KY,40214,4272,JEFFERSON,CUBA FOOD MART,445200,5,Specialized Lines of Food
DIXIE ORIENTAL MARKET,-85.653336,38.195374,3900 Bardstown Rd,NA,Louisville,KY,40218,2610,JEFFERSON,DIXIE ORIENTAL MARKET,445200,5,Specialized Lines of Food
Jerrys Market,-85.735748,38.255177,841 E Washington St,NA,Louisville,KY,40206,1631,JEFFERSON,JERRYS MARKET,445120,3,Convenience Store
TARGET STORE T-780,-85.59523,38.217457,4640 Taylorsville Rd,NA,Louisville,KY,40220,3530,JEFFERSON,TARGET STORE T,445110,1,Grocery
Circle K 272119,-85.811707,38.116524,8801 3rd Street Rd,NA,Louisville,KY,40272,2366,JEFFERSON,CIRCLE K,445120,3,Convenience Store
CVS Pharmacy 6209,-85.683685,38.138462,4249 Outer Loop,NA,Louisville,KY,40219,3850,JEFFERSON,CVS PHARMACY,445120,3,Convenience Store
BH INTERNATIONAL MARKET,-85.652534,38.194927,3914 Bardstown Rd,Ste 101,Louisville,KY,40218,2656,JEFFERSON,BH INTERNATIONAL MARKET,445200,5,Specialized Lines of Food
Next Door Convenience Food Mart,-85.68528,38.200405,3303 Newburg Rd,NA,Louisville,KY,40218,2426,JEFFERSON,NEXT DOOR CONVENIENCE FOOD MART,445120,3,Convenience Store
CARDINAL MARKET,-85.803284,38.154243,7312 Saint Andrews Church Rd,NA,Louisville,KY,40214,4012,JEFFERSON,CARDINAL MARKET,445120,3,Convenience Store
VALU MARKET,-85.716423,38.235886,1250 Bardstown Rd,NA,Louisville,KY,40204,1333,JEFFERSON,VALU MARKET,445110,1,Grocery
GORDON FOOD SERVICE MARKETPLACE MP121,-85.840103,38.142307,7483 Dixie Hwy,NA,Louisville,KY,40258,1405,JEFFERSON,GORDON FOOD SERVICE MARKETPLACE MP,445110,1,Grocery
