neighborhood,area_calc,west,murder16,murder17,murders1617,diff_1617
RUSSELL,3634150.28,1,10,10,20,0
SHAWNEE,5569461.44,1,9,7,16,-2
PARKLAND,2106677.35,1,8,6,14,-2
CHICKASAW,3151851.8,1,4,7,11,3
ALGONQUIN,3085921.05,1,3,7,10,4
CALIFORNIA,3184540.13,1,3,6,9,3
PORTLAND,6511854.79,1,4,4,8,0
TAYLOR BERRY,2678020.8,1,4,4,8,0
PARK HILL,2601011.21,1,4,3,7,-1
SOUTHSIDE,2381589.88,1,3,3,6,0
BEECHMONT,3741708.54,1,4,0,4,-4
HAZELWOOD,1662732.12,1,3,1,4,-2
PARK DUVALLE,2356832.86,1,3,1,4,-2
SOUTH LOUISVILLE,2006513.24,1,4,0,4,-4
JACOBS,1823191.73,1,2,1,3,-1
WYANDOTTE/OAKDALE,1406404.52,1,2,1,3,-1
CLOVERLEAF,1877651.02,1,1,0,1,-1
IROQUOIS,610278.68,1,0,1,1,1
AUBURNDALE,1585813.42,1,0,0,0,0
HALLMARK,357706.03,1,0,0,0,0
IROQUOIS PARK,3552336.77,1,0,0,0,0
KENWOOD HILL,1339844.89,1,0,0,0,0
SOUTHLAND PARK,1765709.17,1,0,0,0,0
WILDER PARK,959209.48,1,0,0,0,0
SHELBY PARK,1052431.92,0,5,2,7,-3
CENTRAL BUSINESS DISTRICT,3068323.51,0,2,2,4,0
OLD LOUISVILLE,3102253.98,0,2,1,3,-1
PHOENIX HILL,1510278.07,0,3,0,3,-3
BASHFORD MANOR,1437456.43,0,0,2,2,2
BON AIR,3191812.21,0,1,1,2,0
SAINT JOSEPH,1567194.83,0,2,0,2,-2
BUTCHERTOWN,2378182.82,0,0,1,1,1
CAMP TAYLOR,1079465.89,0,1,0,1,-1
CHEROKEE TRIANGLE,2534944.93,0,0,1,1,1
CLIFTON,1765934.77,0,0,1,1,1
LIMERICK,587723.84,0,0,1,1,1
SCHNITZELBURG,1500979.46,0,0,1,1,1
SMOKETOWN JACKSON,1025096.43,0,1,0,1,-1
AUDUBON,1609600.1,0,0,0,0,0
AVONDALE MELBOURNE HEIGHTS,1254820.22,0,0,0,0,0
BELKNAP,2046354.28,0,0,0,0,0
BONNYCASTLE,844571.08,0,0,0,0,0
BOWMAN,3281879.27,0,0,0,0,0
BROWNSBORO ZORN,2041604.89,0,0,0,0,0
CHEROKEE GARDENS,1014958.03,0,0,0,0,0
CHEROKEE SENECA,3410245.82,0,0,0,0,0
CLIFTON HEIGHTS,1658993.8,0,0,0,0,0
CRESCENT HILL,4923528.19,0,0,0,0,0
DEER PARK,1272069.81,0,0,0,0,0
EDGEWOOD,1927346.27,0,0,0,0,0
FAIRGROUNDS,2802605.43,0,0,0,0,0
GARDINER LANE,768933.38,0,0,0,0,0
GERMANTOWN,1552880.71,0,0,0,0,0
HAWTHORNE,1137485.33,0,0,0,0,0
HAYFIELD DUNDEE,1526785.14,0,0,0,0,0
HIGHLAND PARK,1518331.89,0,0,0,0,0
HIGHLANDS,472275.66,0,0,0,0,0
HIGHLANDS DOUGLASS,1668774.2,0,0,0,0,0
HIKES POINT,2318206.4,0,0,0,0,0
IRISH HILL,1034903.26,0,0,0,0,0
KLONDIKE,2119885.13,0,0,0,0,0
MERRIWETHER,673421.3,0,0,0,0,0
PARISTOWN POINTE,175223.09,0,0,0,0,0
POPLAR LEVEL,3140655.22,0,0,0,0,0
PRESTONIA,965676.16,0,0,0,0,0
REMAINDER OF CITY,2376593.52,0,0,0,0,0
ROCKCREEK LEXINGTON ROAD,1551545.13,0,0,0,0,0
STANDIFORD,707198.25,0,0,0,0,0
TYLER PARK,1332299.44,0,0,0,0,0
UNIVERSITY,2114220.05,0,0,0,0,0
