neighborhood,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Grand Total
blank,8,16,15,13,19,17,20,15,10,18,14,26,16,29,27,263
ALGONQUIN,1,1,2,1,3,3,1,3,2,0,4,2,3,3,6,35
AUDUBON,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
AVONDALE MELBOURNE HEIGHTS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BASHFORD MANOR,0,0,1,2,1,1,2,0,1,2,2,1,1,0,1,15
BEECHMONT,0,0,1,0,0,0,0,1,0,2,1,0,0,4,0,9
BON AIR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
BONNYCASTLE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BOWMAN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
BROWNSBORO ZORN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BUTCHERTOWN,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,6
CALIFORNIA,2,1,2,4,0,4,2,1,0,3,1,1,2,3,2,28
CAMP TAYLOR,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,5
CENTRAL BUSINESS DISTRICT,0,2,1,0,1,2,2,2,3,2,0,0,1,1,2,19
CHEROKEE SENECA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CHEROKEE TRIANGLE,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
CHICKASAW,1,3,1,2,7,4,5,2,3,4,2,2,5,6,6,53
CLIFTON,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,5
CLIFTON HEIGHTS,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
CLOVERLEAF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CRESCENT HILL,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
DEER PARK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
EDGEWOOD,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
FAIRGROUNDS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GARDINER LANE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GERMANTOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HALLMARK,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3
HAWTHORNE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
HAYFIELD DUNDEE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
HAZELWOOD,1,1,1,2,2,0,4,1,1,0,0,0,1,1,1,16
HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HIGHLANDS DOUGLASS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
IRISH HILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IROQUOIS,1,0,1,1,0,0,2,2,0,0,0,0,2,0,2,11
IROQUOIS PARK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
JACOBS,2,1,1,0,0,0,1,1,1,0,1,0,2,2,1,13
LIMERICK,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,6
OLD LOUISVILLE,3,5,4,5,4,4,3,1,3,1,2,0,4,2,0,41
PARK DUVALLE,0,0,0,1,1,3,1,2,3,1,0,0,1,1,1,15
PARK HILL,1,1,1,2,3,1,3,3,2,2,1,2,4,4,4,34
PARKLAND,1,1,5,0,1,3,4,2,2,5,2,5,2,7,6,46
PHOENIX HILL,1,3,0,0,1,0,0,2,0,0,1,1,1,4,0,14
POPLAR LEVEL,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
PORTLAND,2,2,3,2,4,4,6,2,2,3,2,2,10,4,3,51
PRESTONIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
REMAINDER OF CITY,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,5
RUSSELL,4,15,3,4,11,12,7,7,4,5,4,11,11,10,8,116
SAINT JOSEPH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SCHNITZELBURG,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,6
SHAWNEE,1,5,10,4,2,3,3,6,6,8,5,3,6,6,5,73
SHELBY PARK,3,2,3,3,1,0,4,1,0,1,0,1,2,5,0,26
SMOKETOWN JACKSON,1,2,1,1,3,3,2,0,1,0,2,0,1,3,1,21
SOUTH LOUISVILLE,0,0,0,0,1,3,1,2,0,1,1,1,2,3,0,15
SOUTHLAND PARK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SOUTHSIDE,0,2,3,0,0,1,0,0,3,3,2,0,0,4,1,19
TAYLOR BERRY,1,2,1,0,2,1,1,1,1,0,1,4,1,4,2,22
TYLER PARK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WILDER PARK,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,6
WYANDOTTE,0,1,0,1,1,1,0,0,0,3,1,0,2,2,0,12
